Caltrans District,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,Back Peak Hour,Back Peak Month,Back AADT,Ahead Peak Hour,Ahead Peak Month,Ahead AADT,Latitude,Longitude
3,80,,PLA,,17.541,,"AUBURN, JCT. RTE. 49",7500,87000,78000,6200,67000,61000,38.89997728,-121.0748323
3,80,,PLA,,17.83,,"AUBURN, ELM AVE ",6200,67000,61000,6100,65000,59000,38.90304138,-121.0717603
3,80,,PLA,R,18.906,,LINCOLN WAY,6100,65000,59000,5900,64000,57000,38.9163673,-121.0624888
3,80,,PLA,R,19.465,,AUBURN RAVINE RD,5900,64000,57000,5400,61000,52000,38.92347858,-121.0572863
3,80,,PLA,R,20.127,,BOWMAN ,5400,61000,52000,6100,67000,55000,38.93324828,-121.0548913
3,80,,PLA,R,21.128,,HAINES RD,6100,67000,55000,5300,54000,47500,38.94529888,-121.0460656
3,80,,PLA,R,22.212,,DRY CREEK RD ,5300,54000,47500,5200,52000,45500,38.95741129,-121.03312
3,80,,PLA,R,23.429,,CLIPPER GAP,5200,52000,45500,4750,44000,37500,38.969706,-121.017655
3,80,,PLA,R,26.209,,APPLEGATE RD,4750,44000,37500,4850,46500,39500,39.01847658,-120.9825542
3,80,,PLA,,27.392,,HEATHER GLEN ,4850,46500,39500,4100,44000,39000,39.02794177,-120.9769182
3,80,,PLA,,28.587,,WEIMAR ,4100,44000,39000,4100,41000,38000,39.03811625,-120.9732286
3,80,,PLA,,29.323,,WEIMAR CROSSRD ,4100,41000,38000,3800,39000,36000,39.04473409,-120.9739441
3,80,,PLA,,31.794,,ILLINOIS TOWN ,3800,39000,36000,3650,36500,33500,39.07848001,-120.9597905
3,80,,PLA,,33.131,,"COLFAX, JCT. RTE. 174 N",3650,36500,33500,4050,30000,27500,39.09577426,-120.9494679
3,80,,PLA,,37.782,,MAGRA RD ,4050,30000,27500,4450,30500,27500,39.14711312,-120.9073522
3,80,,PLA,,38.347,,ALPINE ,4450,30500,27500,4450,31000,27000,39.14986284,-120.8982
3,80,,PLA,,41.372,,GOLD RUN ,4450,31000,27000,4300,28500,26000,39.17513227,-120.85793
3,80,,PLA,,42.191,,SAWMILL /TO GOLD RUN,4300,28500,26000,3900,34000,27500,39.18460394,-120.8476863
3,80,,PLA,,43.167,,MONTE VISTA,3900,34000,27500,4250,33500,27000,39.18811715,-120.8321259
3,80,,PLA,,44.752,,ALTA RD ,4250,33500,27000,3500,31500,25500,39.2016235,-120.8121784
3,80,,PLA,,46.31,,CRYSTAL SPRINGS RD,3500,31500,25500,3650,31500,25000,39.20906033,-120.7864803
3,80,,PLA,,46.935,,BAXTER ,3650,31500,25000,3750,32000,25500,39.21458886,-120.7768818
3,80,,PLA,,49,,DRUM FOREBAY RD,3750,32000,25500,3650,31500,25000,39.237229,-120.752726
